#NAME	CHROM	STRAND	TX_START	TX_END
SGIP1	1	+	66999964	67213982
SLC45A1	1	+	8384389	8404227
NECAP2	1	+	16767166	16786573
CLIC4	1	+	25071847	25170815
AZIN2	1	+	33546713	33585995
AGBL4	1	-	48998526	50489585
TGFBR3	1	-	92145901	92351836
DBT	1	-	100652474	100715390
PRUNE	1	+	150980952	151008189
RFWD2	1	-	175913966	176176629
C1orf21	1	+	184356191	184598154
LIN9	1	-	226418857	226497434
C1orf159	1	-	1017202	1051478
PRDM16	1	+	2985774	3355185
ICMT	1	-	6281252	6296000
CAMTA1	1	+	6845383	7829766
PINK1	1	+	20959947	20978004
USP48	1	-	22005071	22110099
EPHB2	1	+	23037462	23240763
NUDC	1	+	27248216	27273353
EYA3	1	-	28296854	28415207
EPB41	1	+	29213602	29446558
PUM1	1	-	31404352	31538545
KHDRBS1	1	+	32479429	32509483
CSMD2	1	-	33979598	34630875
SFPQ	1	-	35648532	35658749
THRAP3	1	+	36690016	36770958
MACF1	1	+	39549803	39952652
CCDC30	1	+	42948326	43119852
PTPRF	1	+	43996560	44088028
RNF220	1	+	44870865	45117395
GPBP1L1	1	-	46092975	46152208
TRABD2B	1	-	48226199	48462567
FAF1	1	-	50902699	51425935
RAB3B	1	-	52373627	52456436
SCP2	1	+	53392900	53517375
TCEANC2	1	+	54519273	54571755
USP24	1	-	55532031	55680786
DAB1	1	-	57460450	57889729
FGGY	1	+	59762662	60228402
NFIA	1	+	61547979	61928465
USP1	1	+	62901974	62917473
ITGB3BP	1	-	63906443	63988886
CACHD1	1	+	64936474	65158741
LEPR	1	+	65886334	66107242
LRRC7	1	+	70225857	70587926
NEGR1	1	-	71861622	72748417
ST6GALNAC3	1	+	76540403	77100286
PIGK	1	-	77554674	77685111
ADGRL2	1	+	81771850	82458106
CLCA4	1	+	87012760	87046437
LRRC8C	1	+	90098630	90185092
RP11-302M6.4	1	+	90098698	90398809
FAM69A	1	-	93307723	93427057
GCLM	1	-	94350760	94374966
NTNG1	1	+	107682628	108024471
GNAI3	1	+	110091232	110160943
KCNA2	1	-	111136201	111150051
RAP1A	1	+	112084839	112255735
RHOC	1	-	113243727	113250025
RP11-426L16.10	1	-	113245269	113253977
PHTF1	1	-	114239823	114301777
WDR3	1	+	118472390	118509165
NOTCH2	1	-	120454175	120612240
PDZK1	1	+	145727665	145764207
OTUD7B	1	-	149909704	149982625
TPM3	1	-	154139940	154164687
SMG5	1	-	156219014	156252616
FCGR2A	1	+	161475219	161488348
PBX1	1	+	164528871	164821068
MROH9	1	+	170904666	170967947
DNM3	1	+	171810639	172381857
